total,keyword
6666,"Mislabeled Element"
4665,"Missing Alt-Text"
1760,"Lack of Navigation"
1344,"Lack of Keyboard Accesss"
1232,"Empty Links"
802,"Broken Links"
682,"Redundant Links"
559,"Duplicate Titles"
539,"Undefined Page Language"
529,"Missing label"
478,"Mislabeled Buttons"
395,"Inaccessible Element"
364,"Lack of Screen Reader Support"
337,"Unclear Link Purpose"
291,"Lack of Descriptive Titles"
288,"Missing Mechanism to Bypass Repeated Content"
280,"Empty or Missing Form Labels"
260,"Empty or Broken Element"
258,"Empty Buttons"
249,"Mouse only use"
227,"Inaccessible Checkout System"
191,"Markup Errors"
150,"Same link used for different destinations"
116,"Element without Title"
97,"Missing Element"
58,"Empty Element"
16,"Element contains duplicate IDs"
15,"Lack of closed captioning"
15,"Lack of Image Mapping"
14,"Low Contrast"
12,"Unreadable element"
6,"Lack of Keyboard Support"
6,"Inaccessible forms"
1,"Element not resizable"
